ticker
AAPL
ABBV
ABT
ADBE
ADI
AEP
AMAT
AMD
AMT
AMZN
APD
ATVI
AVGO
AXP
BA
BAC
BK
BKNG
BLK
BMY
C
CAT
CCI
CHTR
CI
CL
CMCSA
COF
COP
COST
CRM
CSCO
CSX
CVS
CVX
DD
DHR
DIS
DOW
DUK
EOG
EQIX
EXC
FCX
GE
GIS
GOOGL
GS
HD
HON
HUM
IBM
INTC
ISRG
JNJ
JPM
KMB
KO
LIN
LLY
LMT
LOW
MAR
MCD
MDLZ
META
MMM
MPC
MRK
MS
MSFT
NEE
NEM
NFLX
NKE
NVDA
ORCL
PEP
PFE
PG
PLD
PM
PNC
PSA
PSX
QCOM
RTX
SBUX
SHW
SLB
SO
SPGI
STT
T
TFC
TJX
TMO
TMUS
TSLA
TXN
UNH
UNP
UPS
USB
VLO
VZ
WFC
WMT
XOM
ZTS
