ticker
AAL
AAP
AAPL
ABBV
ABC
ABMD
ABT
ACN
ADBE
ADI
ADSK
AEE
AEP
AES
AFL
AGN
AIG
AIV
AIZ
AJG
AKAM
ALB
ALGN
ALK
ALL
ALLE
ALXN
AMAT
AMCR
AMD
AME
AMGN
AMP
AMT
AMZN
ANET
ANSS
ANTM
AON
AOS
APA
APD
APH
APTV
ARE
ATO
ATVI
AVB
AVGO
AVY
AWK
AXP
AZO
BA
BAC
BAX
BBT
BBY
BDX
BEN
BF
BHGE
BIIB
BK
BKNG
BLK
BLL
BMY
BR
BRK
BSX
BWA
BXP
C
CAG
CAH
CAT
CB
CBOE
CBRE
CBS
CCI
CCL
CDNS
CE
CELG
CERN
CF
CHD
CHRW
CHTR
CI
CINF
CL
CLX
CMA
CMCSA
COF
COP
COST
CRM
CSCO
CSX
CVS
CVX
DD
DHR
DIS
DOW
DUK
EOG
EQIX
EXC
FCX
GE
GIS
GOOGL
GS
HD
HON
HUM
IBM
INTC
ISRG
JNJ
JPM
KMB
KO
LIN
LLY
LMT
LOW
MAR
MCD
MDLZ
META
MMM
MPC
MRK
MS
MSFT
NEE
NEM
NFLX
NKE
NVDA
ORCL
PEP
PFE
PG
PLD
PM
PNC
PSA
PSX
QCOM
RTX
SBUX
SHW
SLB
SO
SPGI
STT
T
TFC
TJX
TMO
TMUS
TSLA
TXN
UNH
UNP
UPS
USB
VLO
VZ
WFC
WMT
XOM
ZTS
