ticker
AAPL
MSFT
GOOGL
AMZN
NVDA
META
TSLA
JPM
JNJ
V
UNH
XOM
WMT
MA
PG
HD
CVX
MRK
ABBV
PEP
KO
BAC
PFE
AVGO
COST
TMO
DIS
CSCO
ADBE
NKE
ABT
MCD
CRM
ACN
WFC
TXN
VZ
NEE
BMY
PM
RTX
HON
UPS
QCOM
UNP
LOW
SPGI
MS
